"","id","address","street","houseNumber","postalCode","city","county","state","country","type","district","geometry"
"1","1","4912 Patricia Dr, Eureka, CA 95503, United States","Patricia Dr","4912","95503","Eureka","Humboldt","CA","USA","point","","-124.1642,40.75687"
"2","2","27261 Paseo Peregrino, San Juan Capistrano, CA 92675, United States","Paseo Peregrino","27261","92675","San Juan Capistrano","Orange","CA","USA","point","","-117.6554,33.46818"
"3","3","South Lake Tahoe, CA, United States","","","96150","South Lake Tahoe","El Dorado","CA","USA","point","","-120.00781,38.91163"
"4","4","26000 Avenida Aeropuerto, San Juan Capistrano, CA 92675, United States","Avenida Aeropuerto","26000","92675","San Juan Capistrano","Orange","CA","USA","point","","-117.67615,33.48175"
"5","5","4245 Mildred Ave, Culver City, CA 90066, United States","Mildred Ave","4245","90066","Culver City","Los Angeles","CA","USA","point","Culver-West","-118.43172,33.99291"
"6","6","11260 Overland Ave, Culver City, CA 90230, United States","Overland Ave","11260","90230","Culver City","Los Angeles","CA","USA","point","Blanco-Culver Crest","-118.3904,33.99362"
"7","7","6262 Hollis St, Emeryville, CA 94608, United States","Hollis St","6262","94608","Emeryville","Alameda","CA","USA","point","","-122.29045,37.84357"
"8","8","123 W Buhne St, Eureka, CA 95501, United States","W Buhne St","123","95501","Eureka","Humboldt","CA","USA","point","","-124.17253,40.7862"
"9","9","2913 Sentney Ave, Culver City, CA 90232, United States","Sentney Ave","2913","90232","Culver City","Los Angeles","CA","USA","point","McManus","-118.37623,34.03103"
"10","10","27 Nelson Ave, Oroville, CA 95965, United States","Nelson Ave","27","95965","Oroville","Butte","CA","USA","point","","-121.55985,39.52407"